INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: BAAI/bge-large-zh-v1.5
INFO:sentence_transformers.SentenceTransformer:Use pytorch device: cuda
INFO:root:Training steps:20148, warmup steps:4029, steps per epoch:None
INFO:root:WARNING: ran out of memory,times: 372, batch size: 8
INFO:root:WARNING: ran out of memory,times: 373, batch size: 8
INFO:root:WARNING: ran out of memory,times: 374, batch size: 8
INFO:root:WARNING: ran out of memory,times: 375, batch size: 8
INFO:root:WARNING: ran out of memory,times: 376, batch size: 8
INFO:root:WARNING: ran out of memory,times: 377, batch size: 8
INFO:root:WARNING: ran out of memory,times: 378, batch size: 8
INFO:root:WARNING: ran out of memory,times: 379, batch size: 8
INFO:root:WARNING: ran out of memory,times: 380, batch size: 8
INFO:root:WARNING: ran out of memory,times: 381, batch size: 8
INFO:root:WARNING: ran out of memory,times: 382, batch size: 8
INFO:root:WARNING: ran out of memory,times: 383, batch size: 8
INFO:root:WARNING: ran out of memory,times: 384, batch size: 8
INFO:root:WARNING: ran out of memory,times: 385, batch size: 8
INFO:root:WARNING: ran out of memory,times: 386, batch size: 8
INFO:root:WARNING: ran out of memory,times: 387, batch size: 8
INFO:root:WARNING: ran out of memory,times: 388, batch size: 8
INFO:root:WARNING: ran out of memory,times: 389, batch size: 8
INFO:root:WARNING: ran out of memory,times: 390, batch size: 8
INFO:root:WARNING: ran out of memory,times: 391, batch size: 8
INFO:root:WARNING: ran out of memory,times: 392, batch size: 8
INFO:root:WARNING: ran out of memory,times: 393, batch size: 8
INFO:root:WARNING: ran out of memory,times: 394, batch size: 8
INFO:root:WARNING: ran out of memory,times: 395, batch size: 8
INFO:root:WARNING: ran out of memory,times: 396, batch size: 8
INFO:root:WARNING: ran out of memory,times: 397, batch size: 8
INFO:root:WARNING: ran out of memory,times: 398, batch size: 8
INFO:root:WARNING: ran out of memory,times: 399, batch size: 8
INFO:root:WARNING: ran out of memory,times: 400, batch size: 8
INFO:root:WARNING: ran out of memory,times: 401, batch size: 8
INFO:root:WARNING: ran out of memory,times: 402, batch size: 8
INFO:root:WARNING: ran out of memory,times: 403, batch size: 8
INFO:root:WARNING: ran out of memory,times: 404, batch size: 8
INFO:root:WARNING: ran out of memory,times: 405, batch size: 8
INFO:root:WARNING: ran out of memory,times: 406, batch size: 8
INFO:root:WARNING: ran out of memory,times: 407, batch size: 8
INFO:root:WARNING: ran out of memory,times: 408, batch size: 8
INFO:root:WARNING: ran out of memory,times: 409, batch size: 8
INFO:root:WARNING: ran out of memory,times: 410, batch size: 8
INFO:root:WARNING: ran out of memory,times: 411, batch size: 8
INFO:root:WARNING: ran out of memory,times: 412, batch size: 8
INFO:root:WARNING: ran out of memory,times: 413, batch size: 8
INFO:root:WARNING: ran out of memory,times: 414, batch size: 8
INFO:root:WARNING: ran out of memory,times: 415, batch size: 8
INFO:root:WARNING: ran out of memory,times: 416, batch size: 8
INFO:root:WARNING: ran out of memory,times: 417, batch size: 8
INFO:root:WARNING: ran out of memory,times: 418, batch size: 8
INFO:root:WARNING: ran out of memory,times: 419, batch size: 8
INFO:root:WARNING: ran out of memory,times: 420, batch size: 8
INFO:root:WARNING: ran out of memory,times: 421, batch size: 8
INFO:root:WARNING: ran out of memory,times: 422, batch size: 8
INFO:root:WARNING: ran out of memory,times: 423, batch size: 8
INFO:root:WARNING: ran out of memory,times: 424, batch size: 8
INFO:root:WARNING: ran out of memory,times: 425, batch size: 8
INFO:root:WARNING: ran out of memory,times: 426, batch size: 8
INFO:root:WARNING: ran out of memory,times: 427, batch size: 8
INFO:root:WARNING: ran out of memory,times: 428, batch size: 8
INFO:root:WARNING: ran out of memory,times: 429, batch size: 8
INFO:root:WARNING: ran out of memory,times: 430, batch size: 8
INFO:root:WARNING: ran out of memory,times: 431, batch size: 8
INFO:root:WARNING: ran out of memory,times: 432, batch size: 8
INFO:root:WARNING: ran out of memory,times: 433, batch size: 8
INFO:root:WARNING: ran out of memory,times: 434, batch size: 8
INFO:root:WARNING: ran out of memory,times: 435, batch size: 8
INFO:root:WARNING: ran out of memory,times: 436, batch size: 8
INFO:root:WARNING: ran out of memory,times: 437, batch size: 8
INFO:root:WARNING: ran out of memory,times: 438, batch size: 8
INFO:root:WARNING: ran out of memory,times: 439, batch size: 8
INFO:root:WARNING: ran out of memory,times: 440, batch size: 8
INFO:root:WARNING: ran out of memory,times: 441, batch size: 8
INFO:root:WARNING: ran out of memory,times: 442, batch size: 8
INFO:root:WARNING: ran out of memory,times: 443, batch size: 8
INFO:root:WARNING: ran out of memory,times: 444, batch size: 8
INFO:root:WARNING: ran out of memory,times: 445, batch size: 8
INFO:root:WARNING: ran out of memory,times: 446, batch size: 8
INFO:root:WARNING: ran out of memory,times: 447, batch size: 8
INFO:root:WARNING: ran out of memory,times: 448, batch size: 8
INFO:root:WARNING: ran out of memory,times: 449, batch size: 8
INFO:root:WARNING: ran out of memory,times: 450, batch size: 8
